iter	Passed	Remaining
277	2034	4120
278	2043	4115
279	2051	4109
280	2059	4103
281	2067	4097
282	2075	4091
283	2083	4085
284	2092	4081
285	2100	4075
286	2109	4071
287	2117	4066
288	2125	4059
289	2132	4051
290	2140	4044
291	2147	4037
292	2154	4029
293	2160	4020
294	2167	4011
295	2174	4003
296	2181	3994
297	2187	3986
298	2193	3976
299	2201	3969
300	2207	3960
301	2214	3952
302	2221	3943
303	2227	3935
304	2234	3927
305	2242	3920
306	2249	3913
307	2256	3905
308	2263	3897
309	2271	3891
310	2278	3883
311	2285	3875
312	2292	3867
313	2299	3859
314	2306	3851
315	2313	3844
316	2320	3836
317	2326	3826
318	2333	3819
319	2340	3810
320	2346	3801
321	2353	3792
322	2359	3783
323	2366	3776
324	2373	3768
325	2379	3758
326	2385	3749
327	2391	3739
328	2398	3732
329	2404	3723
330	2411	3714
331	2417	3706
332	2424	3698
333	2430	3689
334	2437	3681
335	2444	3673
336	2450	3664
337	2457	3657
338	2463	3648
339	2470	3639
340	2476	3631
341	2483	3623
342	2489	3614
343	2496	3607
344	2503	3599
345	2511	3592
346	2518	3585
347	2525	3578
348	2534	3572
349	2541	3565
350	2549	3558
351	2556	3551
352	2563	3544
353	2570	3536
354	2578	3529
355	2585	3522
356	2592	3514
357	2598	3506
358	2605	3498
359	2613	3492
360	2621	3485
361	2627	3476
362	2634	3469
363	2642	3462
364	2650	3456
365	2657	3449
366	2664	3441
367	2671	3433
368	2677	3425
369	2684	3417
370	2691	3409
371	2697	3401
372	2704	3392
373	2710	3384
374	2717	3376
375	2723	3368
376	2729	3359
377	2736	3352
378	2743	3344
379	2750	3336
380	2756	3328
381	2763	3320
382	2770	3312
383	2777	3305
384	2784	3298
385	2791	3290
386	2797	3281
387	2803	3273
388	2810	3265
389	2817	3258
390	2825	3251
391	2831	3243
392	2838	3235
393	2846	3229
394	2852	3220
395	2859	3213
396	2866	3205
397	2873	3198
398	2879	3190
399	2887	3183
400	2894	3175
401	2901	3168
402	2909	3161
403	2916	3154
404	2923	3147
405	2930	3139
406	2937	3132
407	2945	3126
408	2952	3118
409	2959	3111
410	2965	3103
411	2972	3095
412	2980	3088
413	2987	3080
414	2994	3073
415	3001	3066
416	3007	3058
417	3015	3051
418	3021	3043
419	3028	3036
420	3037	3030
421	3044	3022
422	3051	3015
423	3058	3008
424	3066	3001
425	3073	2994
426	3081	2987
427	3088	2979
428	3095	2972
429	3102	2965
430	3109	2958
431	3115	2950
432	3122	2942
433	3128	2934
434	3135	2926
435	3142	2919
436	3148	2910
437	3155	2903
438	3161	2895
439	3169	2888
440	3176	2880
441	3183	2873
442	3189	2865
443	3196	2857
444	3202	2850
445	3209	2842
446	3216	2835
447	3222	2826
448	3228	2818
449	3235	2811
450	3241	2803
451	3248	2795
452	3254	2787
453	3261	2780
454	3268	2772
455	3274	2764
456	3280	2756
457	3287	2748
458	3293	2741
459	3300	2733
460	3306	2725
461	3313	2717
462	3320	2710
463	3326	2703
464	3333	2695
465	3340	2687
466	3346	2679
467	3352	2671
468	3359	2664
469	3365	2656
470	3371	2648
471	3377	2640
472	3384	2633
473	3390	2625
474	3396	2617
475	3403	2609
476	3409	2601
477	3415	2594
478	3422	2586
479	3428	2578
480	3435	2571
481	3441	2563
482	3447	2555
483	3453	2547
484	3460	2539
485	3466	2532
486	3472	2524
487	3478	2516
488	3485	2508
489	3491	2501
490	3497	2493
491	3504	2486
492	3511	2478
493	3518	2471
494	3525	2464
495	3532	2456
496	3538	2448
497	3544	2441
498	3552	2435
499	3559	2427
500	3566	2420
501	3572	2412
502	3579	2405
503	3586	2397
504	3593	2390
505	3600	2383
506	3606	2376
507	3613	2368
508	3620	2361
509	3628	2354
510	3635	2347
511	3642	2340
512	3649	2333
513	3655	2325
514	3662	2318
515	3669	2311
516	3676	2304
517	3683	2296
518	3690	2289
519	3696	2282
520	3704	2275
521	3712	2268
522	3720	2261
523	3727	2255
524	3736	2248
525	3745	2242
526	3754	2237
527	3762	2230
528	3770	2223
529	3779	2217
530	3787	2211
531	3797	2205
532	3805	2199
533	3814	2192
534	3822	2186
535	3830	2179
536	3838	2173
537	3846	2166
538	3854	2159
539	3862	2152
540	3870	2146
541	3878	2139
542	3886	2133
543	3894	2126
544	3901	2119
545	3909	2112
546	3915	2104
547	3923	2097
548	3929	2090
549	3937	2083
550	3943	2075
551	3951	2068
552	3958	2061
553	3965	2054
554	3971	2046
555	3978	2039
556	3984	2031
557	3991	2024
558	3998	2016
559	4005	2009
560	4012	2002
561	4019	1995
562	4025	1987
563	4033	1980
564	4039	1973
565	4046	1966
566	4053	1958
567	4060	1951
568	4066	1944
569	4073	1936
570	4080	1929
571	4086	1922
572	4093	1914
573	4099	1907
574	4106	1899
575	4113	1892
576	4120	1885
577	4127	1878
578	4134	1870
579	4140	1863
580	4147	1855
581	4153	1848
582	4159	1840
583	4165	1833
584	4173	1826
585	4179	1818
586	4185	1811
587	4191	1803
588	4197	1795
589	4204	1788
590	4210	1780
591	4217	1773
592	4223	1766
593	4229	1758
594	4235	1751
595	4242	1743
596	4249	1736
597	4256	1729
598	4262	1722
599	4269	1714
600	4275	1707
601	4281	1699
602	4287	1692
603	4294	1685
604	4301	1677
605	4308	1670
606	4314	1663
607	4321	1656
608	4328	1648
609	4335	1641
610	4342	1634
611	4349	1627
612	4356	1620
613	4363	1613
614	4371	1606
615	4378	1599
616	4384	1591
617	4391	1584
618	4398	1577
619	4404	1570
620	4411	1562
621	4418	1555
622	4426	1548
623	4433	1541
624	4440	1534
625	4446	1527
626	4453	1520
627	4460	1512
628	4467	1505
629	4474	1498
630	4481	1491
631	4488	1484
632	4495	1477
633	4502	1470
634	4509	1462
635	4516	1455
636	4523	1448
637	4529	1441
638	4536	1434
639	4544	1427
640	4551	1420
641	4558	1412
642	4565	1405
643	4572	1398
644	4578	1391
645	4585	1384
646	4593	1377
647	4600	1370
648	4606	1362
649	4613	1355
650	4620	1348
651	4627	1341
652	4633	1334
653	4640	1326
654	4647	1319
655	4654	1312
656	4661	1305
657	4667	1298
658	4675	1291
659	4681	1283
660	4688	1276
661	4695	1269
662	4703	1262
663	4711	1255
664	4718	1248
665	4725	1241
666	4732	1234
667	4739	1227
668	4746	1220
669	4753	1213
670	4762	1206
671	4769	1199
672	4777	1192
673	4784	1185
674	4791	1178
675	4798	1171
676	4805	1164
677	4812	1157
678	4820	1150
679	4827	1142
680	4834	1135
681	4840	1128
682	4848	1121
683	4854	1114
684	4862	1107
685	4868	1100
686	4875	1092
687	4881	1085
688	4887	1078
689	4893	1070
690	4900	1063
691	4906	1056
692	4913	1049
693	4919	1041
694	4925	1034
695	4933	1027
696	4940	1020
697	4946	1013
698	4954	1006
699	4962	999
700	4969	992
701	4976	985
702	4982	978
703	4988	970
704	4996	963
705	5002	956
706	5009	949
707	5016	942
708	5023	935
709	5030	928
710	5037	920
711	5043	913
712	5050	906
713	5056	899
714	5063	892
715	5069	885
716	5076	877
717	5083	870
718	5091	863
719	5098	856
720	5106	849
721	5115	843
722	5123	836
723	5132	829
724	5140	822
725	5149	815
726	5157	808
727	5165	801
728	5173	794
729	5182	787
730	5189	780
731	5197	773
732	5205	766
733	5212	759
734	5220	752
735	5228	745
736	5237	739
737	5246	732
738	5255	725
739	5267	718
740	5277	712
741	5288	705
742	5298	698
743	5307	691
744	5317	685
745	5328	678
746	5338	671
747	5348	664
748	5356	657
749	5363	650
750	5371	643
751	5378	636
752	5386	629
753	5392	622
754	5399	615
755	5407	607
756	5414	600
757	5420	593
758	5427	586
759	5433	579
760	5440	571
761	5446	564
762	5453	557
763	5460	550
764	5467	543
765	5475	536
766	5484	529
767	5493	522
768	5501	515
769	5509	508
770	5517	500
771	5525	493
772	5533	486
773	5540	479
774	5549	472
775	5556	465
776	5565	458
777	5574	451
778	5582	444
779	5591	437
780	5601	430
781	5610	423
782	5619	416
783	5627	409
784	5634	401
785	5641	394
786	5648	387
787	5655	380
788	5662	373
789	5668	365
790	5675	358
791	5681	351
792	5688	344
793	5695	337
794	5701	329
795	5708	322
796	5714	315
797	5721	308
798	5728	301
799	5734	293
800	5741	286
801	5747	279
802	5754	272
803	5761	265
804	5768	257
805	5775	250
806	5781	243
807	5788	236
808	5794	229
809	5800	222
810	5807	214
811	5814	207
812	5821	200
813	5828	193
814	5834	186
815	5842	178
816	5849	171
817	5857	164
818	5863	157
819	5871	150
820	5878	143
821	5886	136
822	5893	128
823	5901	121
824	5908	114
825	5914	107
826	5922	100
827	5929	93
828	5936	85
829	5943	78
830	5950	71
831	5958	64
832	5964	57
833	5971	50
834	5978	42
835	5985	35
836	5993	28
837	5999	21
838	6006	14
839	6013	7
840	6019	0
