iter	Logloss
257	0.4126537866
258	0.4124334661
259	0.4121778852
260	0.4117968381
261	0.4114185621
262	0.4109995165
263	0.4106733633
264	0.4102783684
265	0.4098477452
266	0.4091047029
267	0.4087636728
268	0.4083636297
269	0.4079200102
270	0.4076073382
271	0.4072683585
272	0.40688242
273	0.4065509022
274	0.4063237551
275	0.4061869771
276	0.4058181495
277	0.4053050429
278	0.4050829736
279	0.4046700451
280	0.4043985994
281	0.4039868263
282	0.4006415154
283	0.400293118
284	0.3999194146
285	0.3995836509
286	0.3989421015
287	0.3986069832
288	0.3981169355
289	0.3979871003
290	0.3976489511
291	0.3973145328
292	0.397057204
293	0.3965047575
294	0.3959691285
295	0.3956054195
296	0.395274937
297	0.394956661
298	0.3945744847
299	0.3942024964
300	0.3939936189
301	0.3935700625
302	0.3934186278
303	0.3930136196
304	0.392691457
305	0.3923693557
306	0.3919805216
307	0.3916104728
308	0.3912441197
309	0.3909060086
310	0.3905691656
311	0.3902316231
312	0.389879562
313	0.3895583856
314	0.3891830911
315	0.3888063895
316	0.3884687557
317	0.3881386689
318	0.3877868881
319	0.3873596796
320	0.3869583376
321	0.3863443497
322	0.3859241998
323	0.3857777752
324	0.3853969426
325	0.385202202
326	0.3848248792
327	0.3844129017
328	0.3840719834
329	0.3837685465
330	0.3834445584
331	0.3831418097
332	0.3828250307
333	0.3825640421
334	0.3822806397
335	0.3819076323
336	0.3816516249
